N,State,gdp(lcr)
1,Maharashtra,28.18
2,Tamil Nadu,19.43
3,Uttar Pradesh,17.05
4,Karnataka,16.65
5,Gujarat,16.49
6,West Bengal,12.54
7,Telangana,9.78
8,Andhra Pradesh,9.71
9,Rajasthan,9.58
10,Madhya Pradesh,9.17
11,Kerala,8.54
12,Delhi,7.98
13,Haryana,7.65
14,Bihar,7.57
15,Punjab,5.41
16,Odisha,5.09
17,Assam,3.51
18,Chhattisgarh,3.50
19,Jharkhand,3.29
20,Uttarakhand,2.53
21,Jammu and Kashmir,1.76
22,Himachal Pradesh,1.56
23,Goa,0.815
24,Tripura,0.597
25,Chandigarh,0.421
26,Puducherry,0.380
27,Meghalaya,0.348
28,Sikkim,0.325
29,Nagaland,0.319
30,Manipur,0.318
31,Arunachal Pradesh,0.273
32,Mizoram,0.265
33,Andaman and Nicobar Islands,0.088
